,titulo,preco,quartos,suites,banheiros,vagas,privativos,link,lat,long,numero_rua,bairro,cidade,piscina,gas_central,elevador,salao,academia
347,Apartamento 2 Quartos São João 71m²,561965.05,2,1,2,1,71,https://maximoveis.com.br/imovel/11175/apartamento-2-quartos-garden-club-sao-joao-itajai/,-26.9011733,-48.6739564,"Rua João Ladislau Tabalipa, 455",São João,Itajaí/SC,1,1,1,1,1
348,Apartamento 2 Quartos Fazenda 74m²,728038.3,2,2,3,1,74,https://maximoveis.com.br/imovel/12730/apartamento-2-quartos-luminares-residence-fazenda-itajai/,-26.9273027,-48.6546086,"Rua Manoel Bernardo Da Silva, 345",Fazenda,Itajaí/SC,1,0,1,1,1
349,Apartamento 2 Quartos Centro 86m²,1100000.0,2,2,3,1,86,https://maximoveis.com.br/imovel/12762/apartamento-2-quartos-space-soul-centro-itajai/,-26.9038511,-48.6587437,"Rua Samuel Heusi, 149",Centro,Itajaí/SC,1,0,1,1,1
350,Apartamento 2 Quartos Praia Brava 59m²,765000.0,2,1,2,1,59,https://maximoveis.com.br/imovel/10716/apartamento-2-quartos-soul-brava-praia-brava-itajai/,-26.95522,-48.644251,"Rua Suécia, 371",Praia Brava,Itajaí/SC,1,1,1,1,1
352,Apartamento 3 Quartos Centro 104m²,1089000.0,3,1,3,2,104,https://maximoveis.com.br/imovel/10065/apartamento-3-quartos-monte-solaro-centro-itajai/,-26.9159496,-48.6592326,"Rua Uruguai, 716",Centro,Itajaí/SC,1,0,1,1,1
353,Apartamento 3 Quartos Centro 148m²,2398252.27,3,3,5,3,148,https://maximoveis.com.br/imovel/10526/apartamento-3-quartos-volpi-centro-itajai/,-26.9130219,-48.6610747,"Avenida Joca Brandão, 231",Centro,Itajaí/SC,1,1,1,1,1
354,Apartamento 3 Quartos Centro 155m²,2828000.0,3,3,4,3,155,https://maximoveis.com.br/imovel/8828/apartamento-3-quartos-marechiaro-residencial-centro-itajai/,-26.9098664,-48.6548531,"Rua Lauro Muller, 538",Centro,Itajaí/SC,1,0,1,1,1
356,Apartamento 2 Quartos Centro 80m²,877093.12,2,2,2,1,80,https://maximoveis.com.br/imovel/6228/apartamento-2-quartos-lottus-residence-centro-itajai/,-26.906686,-48.66756190000001,"Rua Pereira Neto, 189",Centro,Itajaí/SC,1,0,1,1,1
357,Apartamento 3 Quartos Dom Bosco 79m²,752536.84,3,1,2,2,79,https://maximoveis.com.br/imovel/8993/apartamento-3-quartos-mabrem-san-marino-dom-bosco-itajai/,-26.9169583,-48.67202690000001,"Rua Ulisses Machado Dutra, 78",Dom Bosco,Itajaí/SC,1,0,1,1,1
358,Apartamento 2 Quartos Fazenda 73m²,857029.96,2,2,3,1,73,https://maximoveis.com.br/imovel/5956/apartamento-2-quartos-lago-moraine-fazenda-itajai/,-26.9252796,-48.6492404,"Rua João Wollinger, 91",Fazenda,Itajaí/SC,1,0,1,1,1
